original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
The Seven Year Itch,1955,"Comedy, Romance",105,USA,English,7.1,0.007652,87.0,71.0
Aparajito,1956,Drama,110,India,Bengali,8.4,0.134241,95.0,84.0
Around the World in 80 Days,1956,"Adventure, Comedy, Family",167,USA,"English, Spanish, French",6.8,42.0,69.0,68.0
Giant,1956,"Drama, Western",201,USA,"English, Spanish",7.6,32.855818,95.0,76.0
Invasion of the Body Snatchers,1956,"Drama, Horror, Sci-Fi",80,USA,English,7.7,0.001861,98.0,77.0
The Man Who Knew Too Much,1956,"Drama, Thriller",120,USA,"English, Arabic, French",7.5,0.00819,87.0,75.0
The Ten Commandments,1956,"Adventure, Drama",220,USA,English,7.8,65.5,89.0,78.0
An Affair to Remember,1957,"Drama, Musical, Romance",115,USA,"English, French, Italian",7.5,0.001854,65.0,75.0
The Bridge on the River Kwai,1957,"Adventure, Drama, War",161,"UK, USA","English, Japanese, Thai",8.1,27.2,95.0,81.0
The Incredible Shrinking Man,1957,"Horror, Sci-Fi",81,USA,English,7.6,0.00258,92.0,76.0
Paths of Glory,1957,"Drama, War",88,USA,"English, German, Latin",8.4,0.005252,95.0,84.0
Silk Stockings,1957,"Comedy, Musical, Romance",117,USA,English,6.8,0.009755,100.0,68.0
Sweet Smell of Success,1957,"Drama, Film-Noir",96,USA,English,8.1,0.007704,98.0,81.0
Witness for the Prosecution,1957,"Crime, Drama, Mystery",116,USA,"English, German",8.4,0.007693,100.0,84.0
The Fly,1958,"Drama, Horror, Sci-Fi",94,USA,"English, French",7.1,0.001501,95.0,71.0
The Left Handed Gun,1958,Western,102,USA,"English, Spanish",6.5,0.005066,90.0,65.0
The Old Man and the Sea,1958,"Adventure, Drama",86,USA,English,7.0,0.06774,78.0,70.0
South Pacific,1958,"Musical, Romance, War",157,USA,"English, French",6.8,0.458,82.0,68.0
Touch of Evil,1958,"Crime, Drama, Film-Noir",95,USA,"English, Spanish",8.0,2.286947,95.0,80.0
Vertigo,1958,"Mystery, Romance, Thriller",128,USA,English,8.3,7.796389,94.0,83.0
Ben-Hur,1959,"Adventure, Drama, History",212,USA,English,8.1,74.427638,86.0,81.0
North by Northwest,1959,"Adventure, Mystery, Thriller",136,USA,"English, French",8.3,0.073446,99.0,83.0
Pickpocket,1959,"Crime, Drama",76,France,French,7.7,0.007541,95.0,77.0
Sleeping Beauty,1959,"Animation, Family, Fantasy",75,USA,English,7.2,51.6,89.0,72.0
Some Like It Hot,1959,"Comedy, Music, Romance",121,USA,English,8.2,83.169282,95.0,82.0
"Suddenly, Last Summer",1959,"Drama, Mystery, Thriller",114,"UK, USA",English,7.6,0.009749,65.0,76.0
A Summer Place,1959,"Drama, Romance",130,USA,English,6.9,0.021216,83.0,69.0
The Apartment,1960,"Comedy, Drama, Romance",125,USA,English,8.3,0.177066,93.0,83.0
The Brides of Dracula,1960,Horror,85,UK,English,6.7,0.337833,75.0,67.0
Flaming Star,1960,"Action, Drama, Romance",101,USA,English,6.5,4.36,91.0,65.0
Peeping Tom,1960,"Drama, Horror, Thriller",101,UK,English,7.7,0.02464,96.0,77.0
Psycho,1960,"Horror, Mystery, Thriller",109,USA,English,8.5,32.008644,96.0,85.0
Spartacus,1960,"Adventure, Biography, Drama",197,USA,English,7.9,1.844789,93.0,79.0
Swiss Family Robinson,1960,"Adventure, Family",126,USA,English,7.2,40.356,82.0,72.0
The Time Machine,1960,"Adventure, Romance, Sci-Fi",103,USA,English,7.6,0.005902,76.0,76.0
Breakfast at Tiffany's,1961,"Comedy, Drama, Romance",115,USA,"English, Portuguese, French, Japanese",7.6,0.35775,88.0,76.0
The Parent Trap,1961,"Comedy, Family, Romance",129,USA,English,7.1,29.650385,90.0,71.0
A Taste of Honey,1961,Drama,101,UK,English,7.5,0.004597,89.0,75.0
Victim,1961,Drama,90,UK,English,7.7,0.025962,100.0,77.0
Viridiana,1961,Drama,90,"Spain, Mexico","Spanish, English",8.2,0.001843,96.0,82.0
West Side Story,1961,"Crime, Drama, Musical",153,USA,"English, Spanish",7.5,44.061777,92.0,75.0
Boccaccio '70,1962,"Comedy, Fantasy, Romance",205,"Italy, France","Italian, German",7.1,0.010641,50.0,71.0
Dr. No,1962,"Action, Adventure, Thriller",110,UK,"English, French",7.2,16.068461,95.0,72.0
Lawrence of Arabia,1962,"Adventure, Biography, Drama",228,UK,"English, Arabic, Turkish",8.3,45.710874,98.0,83.0
Lolita,1962,"Crime, Drama, Romance",153,"UK, USA","English, French, Spanish, German",7.6,0.004631,91.0,76.0
